select count(*) as aggregate from `chat_mini` | 2 ()
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.22 (1, 1592797869, 1592797869)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.22 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.28 (1, 1592797869, 1592797869)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.25 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.25 (1, 1592797869, 1592797869)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.17 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.15 (1, 1592797869, 1592797869)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.15 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.2 (1, 1592797869, 1592797869)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.18 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.19 (1, 1592797869, 1592797869)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.16 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.18 (1, 1592797869, 1592797869)select count(*) as aggregate from `chat_mini` | 1.58 ()
select count(*) as aggregate from `chat_mini` | 0.21 ()
select * from `chat_mini` order by `id` desc limit 10 offset 0 | 0.25 ()
select * from `users` where `users`.`id` in (1) | 0.45 ()
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.34 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.29 (1, 1592797876, 1592797876)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.31 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.16 (1, 1592797876, 1592797876)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.15 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.19 (1, 1592797876, 1592797876)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.18 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.16 (1, 1592797876, 1592797876)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.19 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.18 (1, 1592797876, 1592797876)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.16 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.15 (1, 1592797876, 1592797876)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.15 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.15 (1, 1592797876, 1592797876)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.15 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.15 (1, 1592797876, 1592797876)select count(*) as aggregate from `chat_mini` | 1.64 ()
select count(*) as aggregate from `chat_mini` | 0.21 ()
select * from `chat_mini` order by `id` desc limit 10 offset 0 | 0.3 ()
select * from `users` where `users`.`id` in (1) | 0.42 ()
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.25 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.24 (1, 1592797883, 1592797883)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.22 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.16 (1, 1592797883, 1592797883)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.16 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.16 (1, 1592797883, 1592797883)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.15 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.22 (1, 1592797883, 1592797883)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.23 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.24 (1, 1592797883, 1592797883)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.25 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.16 (1, 1592797883, 1592797883)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.24 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.25 (1, 1592797883, 1592797883)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.19 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.18 (1, 1592797883, 1592797883)select count(*) as aggregate from `chat_mini` | 1.69 ()
select count(*) as aggregate from `chat_mini` | 0.15 ()
select * from `chat_mini` order by `id` desc limit 10 offset 0 | 0.21 ()
select * from `users` where `users`.`id` in (1) | 0.32 ()
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.24 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.2 (1, 1592797890, 1592797890)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.16 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.16 (1, 1592797890, 1592797890)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.19 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.18 (1, 1592797890, 1592797890)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.16 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.16 (1, 1592797890, 1592797890)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.15 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.15 (1, 1592797890, 1592797890)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.15 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.15 (1, 1592797890, 1592797890)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.19 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.21 (1, 1592797890, 1592797890)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.19 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.2 (1, 1592797890, 1592797890)select count(*) as aggregate from `chat_mini` | 1.62 ()
select count(*) as aggregate from `chat_mini` | 0.22 ()
select * from `chat_mini` order by `id` desc limit 10 offset 0 | 0.31 ()
select * from `users` where `users`.`id` in (1) | 0.44 ()
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.25 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.17 (1, 1592797897, 1592797897)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.19 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.15 (1, 1592797897, 1592797897)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.18 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.17 (1, 1592797897, 1592797897)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.15 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.17 (1, 1592797897, 1592797897)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.15 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.18 (1, 1592797897, 1592797897)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.16 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.15 (1, 1592797897, 1592797897)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.16 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.22 (1, 1592797897, 1592797897)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.27 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.22 (1, 1592797897, 1592797897)select count(*) as aggregate from `chat_mini` | 2.05 ()
select count(*) as aggregate from `chat_mini` | 0.2 ()
select * from `chat_mini` order by `id` desc limit 10 offset 0 | 0.24 ()
select * from `users` where `users`.`id` in (1) | 0.36 ()
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.23 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.24 (1, 1592797904, 1592797904)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.25 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.24 (1, 1592797904, 1592797904)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.21 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.19 (1, 1592797904, 1592797904)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.16 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.16 (1, 1592797904, 1592797904)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.15 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.15 (1, 1592797904, 1592797904)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.15 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.19 (1, 1592797904, 1592797904)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.17 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.17 (1, 1592797904, 1592797904)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.15 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.2 (1, 1592797904, 1592797904)select count(*) as aggregate from `chat_mini` | 1.6 ()
select count(*) as aggregate from `chat_mini` | 0.17 ()
select * from `chat_mini` order by `id` desc limit 10 offset 0 | 0.26 ()
select * from `users` where `users`.`id` in (1) | 0.4 ()
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.44 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.36 (1, 1592797911, 1592797911)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.29 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.23 (1, 1592797911, 1592797911)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.21 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.22 (1, 1592797911, 1592797911)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.2 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.2 (1, 1592797911, 1592797911)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.22 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.22 (1, 1592797911, 1592797911)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.28 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.23 (1, 1592797911, 1592797911)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.2 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.22 (1, 1592797911, 1592797911)
select count(*) as aggregate from `users_online` where `id_user` = ? | 0.19 (1)
select count(*) as aggregate from `ban` where `id_user` = ? and `time_start` < ? and (`time_end` > ? or `time_end` is null) | 0.19 (1, 1592797911, 1592797911)
